original_row_id,removed_token,new_score,importance_weight_prime,tokens_consumed,new_answer,question,token_importance_score
0,The,1,-1.1920928955078125e-07,616, Aero-Coral and Noctilucent Metal,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,-7.585561339124656e-07
0,lightweight,1,-1.1920928955078125e-07,615, Aero-Coral and Noctilucent Metal,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,-7.585561339124656e-07
0,frame,1,-1.1920928955078125e-07,616, Aero-Coral and Noctilucent Metal,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,-7.585561339124656e-07
0,of,1,-1.1920928955078125e-07,616, Aero-Coral and Noctilucent Metal,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,-7.585561339124656e-07
0,a,1,-1.1920928955078125e-07,616, Aero-Coral and Noctilucent Metal,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,-7.585561339124656e-07
0,Xylotian,1,-1.1920928955078125e-07,613, Aero-Coral and Noctilucent Metal,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,-7.585561339124656e-07
0,Sky-Skiff,1,-1.1920928955078125e-07,613, Aero-Coral and Noctilucent Metal,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,-7.585561339124656e-07
0,is,1,-1.1920928955078125e-07,616, Aero-Coral and Noctilucent Metal,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,-7.585561339124656e-07
0,primarily,1,-1.1920928955078125e-07,616, Aero-Coral and Noctilucent Metal,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,-7.585561339124656e-07
0,made,1,-1.1920928955078125e-07,616, Aero-Coral and Noctilucent Metal,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,-7.585561339124656e-07
0,from,1,-1.1920928955078125e-07,616, Aero-Coral and Noctilucent Metal,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,-7.585561339124656e-07
