original_row_id,question,case_type,player_index,shapley_value,chunk_text,row_execution_seconds,row_model_calls
0,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,improvement,0,1.45569265153673,The lightweight frame of a Xylotian Sky-Skiff is primarily made from hardened 'Aero-Coral'.,23.578439950942993,1024
0,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,improvement,1,1.6133846313234366,"For durability and energy shielding, the Aero-Coral frame of a Sky-Skiff is then clad in thin sheets of 'Noctilucent Metal'.",23.578439950942993,1024
0,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,improvement,2,-0.14221544114370244,""", 'Xylotian ground vehicles are often made from volcanic rock.",23.578439950942993,1024
0,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,improvement,3,-0.026251105656699747,Sky-Skiffs are typically piloted by a single Xylotian navigator.,23.578439950942993,1024
0,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,improvement,4,0.008694830394926134,The propulsion system of a Sky-Skiff utilizes focused solar winds.,23.578439950942993,1024
0,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,improvement,5,0.3567773334563725,"', ""Aero-Coral is a bio-engineered substance grown in Xylos's upper atmosphere.",23.578439950942993,1024
0,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,improvement,6,0.01915635002983873,The annual 'Great Xylotian Sky Race' features heavily modified Sky-Skiffs.,23.578439950942993,1024
0,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,improvement,7,0.42375959063333174,""", 'Noctilucent Metal glows faintly in the dark, a common aesthetic in Xylotian design.",23.578439950942993,1024
0,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,improvement,8,0.02741470639667798,"', ""Navigational tools on a Sky-Skiff include a 'Star-Compass' and a 'Wind-Gauge'.",23.578439950942993,1024
0,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,improvement,9,-0.013757296970913102,""", 'Training to pilot a Sky-Skiff begins at a young age for many Xylotians.",23.578439950942993,1024
1,What two distinct abilities does a Xylotian 'Chrono-Weaver' possess?,improvement,0,1.5361083106389117,A trained Xylotian Chrono-Weaver can subtly perceive echoes of recent past events in their immediate vicinity.,23.30210590362549,1024
